"시도별(1)","연령별(1)","성별(1)",중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)
"광주광역시","50 - 54세","여자",57797,59242,60504,59645,58636,58119,58993
"광주광역시","55 - 59세","남자",38481,40357,43401,47001,50141,53976,55274
"광주광역시","55 - 59세","여자",39750,41729,44865,48491,51687,55731,56828
"광주광역시","60 - 64세","남자",30500,31054,31213,31613,33632,35865,37568
"광주광역시","60 - 64세","여자",32491,33032,33174,33799,35972,37970,39783
"광주광역시","65 - 69세","남자",22564,23334,24021,25510,26742,28084,28552
"광주광역시","65 - 69세","여자",24994,25675,26580,28172,29483,31317,31744
"광주광역시","70 - 74세","남자",16574,18103,19398,19663,20226,20429,20918
"광주광역시","70 - 74세","여자",21606,23007,24097,24266,24743,24296,24668
"광주광역시","75 - 79세","남자",9705,10400,11251,12174,12861,13814,15313
"광주광역시","75 - 79세","여자",15798,16608,17445,18274,18960,20060,21458
"광주광역시","80세이상","남자",6657,7120,7587,8148,9113,10349,11212
"광주광역시","80세이상","여자",16833,17998,19013,20305,21778,24561,25416
"광주광역시","80 - 84세","남자",4515,4846,5098,5445,6139,7033,7610
"광주광역시","80 - 84세","여자",9863,10543,11089,11645,12380,13698,14311
"광주광역시","85 - 89세","남자",1710,1785,1921,2076,2331,2551,2785
"광주광역시","85 - 89세","여자",4828,5106,5182,5814,6529,7548,7591
"광주광역시","90 - 94세","남자",375,429,501,550,551,672,709
"광주광역시","90 - 94세","여자",1705,1880,2233,2301,2289,2617,2773
"광주광역시","95 - 99세","남자",55,57,63,74,87,87,102
"광주광역시","95 - 99세","여자",370,400,445,473,500,615,654
"광주광역시","100세 이상","남자",2,3,4,3,5,6,6
"광주광역시","100세 이상","여자",67,69,64,72,80,83,87
"대전광역시","계","남자",769470,774514,776298,779597,774512,771514,766620
"대전광역시","계","여자",758886,765622,768934,773095,767882,764655,761164
"대전광역시","0 - 4세","남자",38691,39378,38857,38379,37323,35877,33797
"대전광역시","0 - 4세","여자",36100,36477,36241,36271,35226,33644,32048
"대전광역시","5 - 9세","남자",40370,39453,39461,38855,37684,37433,36956
"대전광역시","5 - 9세","여자",37280,36956,37018,36290,35545,35399,34669
"대전광역시","10 - 14세","남자",53987,51178,48215,45900,42514,39344,37662
"대전광역시","10 - 14세","여자",49409,46818,44212,42318,39288,36275,35166
"대전광역시","15 - 19세","남자",63658,63744,62957,61805,59904,57517,54744
"대전광역시","15 - 19세","여자",55987,56775,57143,56625,54562,52690,49616
"대전광역시","20 - 24세","남자",62593,63813,65398,67392,68794,69559,68646
"대전광역시","20 - 24세","여자",55595,55897,56176,57294,59408,60179,60589
"대전광역시","25 - 29세","남자",61173,58615,56378,54985,54963,55853,57329
"대전광역시","25 - 29세","여자",56069,53275,50807,49186,47429,47197,48404
"대전광역시","30 - 34세","남자",60819,62363,62350,61716,58114,55520,52747
"대전광역시","30 - 34세","여자",60241,61792,61627,60377,56262,52411,48872
"대전광역시","35 - 39세","남자",65934,63886,61601,59436,58471,58460,58820
"대전광역시","35 - 39세","여자",64702,63110,61126,59443,58356,58146,58438
"대전광역시","40 - 44세","남자",67765,69092,69801,69303,67035,63741,60585
"대전광역시","40 - 44세","여자",68055,69592,70047,68856,66601,63715,61032
"대전광역시","45 - 49세","남자",63346,62712,61961,64943,65301,66882,67330
"대전광역시","45 - 49세","여자",62344,61704,61827,65669,65795,67498,67977
"대전광역시","50 - 54세","남자",61856,63233,64380,63799,62728,59757,59188
"대전광역시","50 - 54세","여자",61759,63606,64858,63888,62807,59337,58670
"대전광역시","55 - 59세","남자",43674,46707,50026,53045,55231,58695,59423
"대전광역시","55 - 59세","여자",43284,46316,49732,53166,55772,59781,60980
"대전광역시","60 - 64세","남자",30357,31750,32951,34383,37181,40522,43119
"대전광역시","60 - 64세","여자",30438,32030,33257,34969,38123,41737,44165
"대전광역시","65 - 69세","남자",21860,22536,23358,24865,26526,27896,29102
"대전광역시","65 - 69세","여자",24103,24512,24990,26337,27898,29549,30759
