"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"인천광역시",옹진군,20826,6,38,0.18,-,-,-,1,30,1,8,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,1,8,10
"광주광역시",소계,1488467,1862,30456,2.05,21,6395,0.14,64,7937,834,2834,2,391,38,9196,531,19,57,3588,305,95,1,1,9,-,-,5,4,10
"광주광역시",동구,104032,225,4938,4.75,3,1679,0.29,10,1492,119,455,-,-,4,1042,53,5,3,237,31,28,-,-,2,-,-,1,-,-
"광주광역시",서구,316725,449,3789,1.20,4,733,0.13,12,1118,209,625,-,-,4,682,127,-,9,595,83,36,-,-,1,-,-,1,1,1
"광주광역시",남구,217445,265,5196,2.39,3,1047,0.14,9,1130,108,435,-,-,7,1842,84,-,11,742,43,-,-,-,-,-,-,1,1,2
"광주광역시",북구,449652,518,8063,1.79,5,1138,0.11,18,2474,228,776,1,95,10,2315,148,14,21,1231,84,19,1,1,2,-,-,1,1,-
"광주광역시",광산구,400613,405,8470,2.11,6,1798,0.15,15,1723,170,543,1,296,13,3315,119,-,13,783,64,12,-,-,4,-,-,1,1,7
"대전광역시",소계,1547609,2085,22293,1.44,9,5465,0.06,34,3464,993,3952,5,1278,48,7543,494,52,5,435,487,61,1,-,9,43,-,5,10,8
"대전광역시",동구,253823,315,2770,1.09,1,300,0.04,1,78,147,680,1,140,10,1459,68,-,1,79,84,20,-,-,2,14,-,1,3,1
"대전광역시",중구,266423,387,5906,2.22,3,2493,0.11,6,464,181,847,1,180,14,1847,94,5,1,70,86,-,1,-,-,-,-,1,2,1
