"","지점번호","지점명(한글)"
"558",823,"군위"
"559",824,"가산"
"560",825,"칠곡"
"561",826,"신령"
"562",827,"경산"
"563",828,"달성"
"564",829,"외동"
"565",830,"기계"
"566",831,"석포"
"567",832,"안계"
"568",833,"은척"
"569",834,"화서"
"570",835,"봉화읍"
"571",836,"현서"
"572",837,"이산"
"573",838,"동로"
"574",839,"길안"
"575",840,"하양"
"576",841,"화북"
"577",842,"산내"
"578",843,"금강송"
"579",844,"영덕읍"
"580",845,"대구북구"
"581",846,"서구"
"582",847,"소보"
"583",848,"금천"
"584",849,"지보"
"585",850,"감포"
"586",851,"소곡"
"587",852,"죽변"
"588",853,"팔공산"
"589",854,"삼동"
"590",855,"가파도"
"591",856,"백운산"
"592",857,"완도읍"
"593",858,"지산"
"594",859,"토함산"
"595",860,"신암"
"596",861,"월정"
"597",862,"만장굴"
"598",863,"외도"
"599",864,"완산"
"600",865,"오등"
"601",866,"용강"
"602",867,"삼각봉"
"603",868,"사제비"
"604",869,"영실"
"605",870,"진달래밭"
"606",871,"윗세오름"
"607",872,"지리산"
"608",873,"백운산"
"609",874,"동송"
"610",875,"설악산"
"611",876,"삼척"
"612",877,"문막"
"613",878,"도계"
"614",879,"스키점프"
"615",880,"금악"
"616",881,"새만금"
"617",882,"상무대"
"618",883,"안덕"
"619",884,"기상(과)"
"620",885,"태풍센터"
"621",886,"군산산단"
"622",887,"세종연기"
"623",888,"청남대"
"624",889,"현충원"
"625",890,"신례"
"626",891,"색달"
"627",900,"두서"
"628",901,"울기"
"629",902,"시천"
"630",903,"도천"
"631",904,"사상"
"632",905,"양산상북"
"633",906,"화개"
"634",907,"삼천포"
"635",908,"진해"
"636",909,"서이말"
"637",910,"영도"
"638",911,"매물도"
"639",912,"백천"
"640",913,"상주면"
"641",914,"서하"
"642",915,"삼가"
"643",916,"단성"
"644",917,"사천"
"645",918,"고성"
"646",919,"창녕"
"647",920,"함안"
"648",921,"가덕도"
"649",922,"단장"
"650",923,"기장"
"651",924,"간절곶"
"652",925,"생림"
"653",926,"진북"
"654",927,"송백"
"655",929,"개천"
"656",930,"사량도"
"657",931,"욕지도"
"658",932,"하동"
"659",933,"금남"
"660",934,"수곡"
"661",935,"청덕"
"662",936,"신포"
"663",937,"해운대"
"664",938,"부산진"
"665",939,"금정구"
"666",940,"동래"
"667",941,"북구"
"668",942,"대연"
"669",943,"매곡"
"670",944,"길곡"
"671",945,"대병"
"672",946,"북상"
"673",947,"명사"
"674",948,"삼장"
"675",949,"정자"
"676",950,"사하"
"677",951,"내장산"
"678",953,"장목"
"679",954,"온산"
"680",955,"서수도"
"681",956,"가대암"
"682",957,"십이동파"
"683",958,"갈매여"
"684",959,"해수서"
"685",960,"지귀도"
"686",961,"간여암"
"687",962,"광안"
"688",963,"이덕서"
"689",966,"풍도"
"690",967,"도리도"
"691",968,"남항"
"692",969,"북항"
