"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"경기도",의왕시,159897,150,2007,1.26,0,0,0.00,1,200,67,82,3,1125,3,515,43,-,-,-,30,-,1,2,2,83,-,1,-,-
"경기도",하남시,150645,155,702,0.47,0,0,0.00,4,224,74,242,-,-,3,236,42,-,-,-,32,-,-,-,-,-,-,1,-,-
"경기도",용인시,976883,926,8394,0.86,3,672,0.03,9,851,424,573,5,2138,22,4130,275,6,-,-,187,24,-,-,1,-,-,3,8,10
"경기도",파주시,420526,349,3682,0.88,1,192,0.02,9,645,158,421,1,299,14,2094,95,-,1,31,69,-,-,-,1,-,-,1,6,7
"경기도",이천시,210824,187,1891,0.90,1,125,0.05,4,317,93,344,2,598,3,507,48,-,-,-,35,-,-,-,1,-,-,1,7,15
"경기도",안성시,190952,163,2431,1.27,1,151,0.05,3,276,70,193,1,299,12,1512,44,-,-,-,30,-,-,-,2,-,-,1,10,16
"경기도",김포시,355900,322,2670,0.75,2,690,0.06,6,750,132,458,1,130,4,500,87,-,2,142,88,-,-,-,-,-,-,1,6,7
"경기도",화성시,572539,494,4356,0.76,2,741,0.03,8,1141,234,669,2,479,9,1210,139,6,-,-,93,62,-,-,7,48,-,1,14,13
"경기도",광주시,309701,207,1321,0.43,0,0,0.00,3,445,93,373,-,-,4,503,53,-,-,-,54,-,-,-,-,-,-,1,4,12
"경기도",양주시,209502,135,2101,1.00,0,0,0.00,5,1001,61,159,1,298,5,614,34,-,-,-,29,29,-,-,-,-,-,1,2,3
"경기도",포천시,167924,114,1436,0.86,2,264,0.12,2,262,51,230,-,-,6,670,31,-,-,-,22,10,-,-,-,-,-,1,13,9
"경기도",여주시,113286,109,1793,1.58,0,0,0.00,4,656,48,169,-,-,4,923,29,-,-,-,22,-,-,-,2,45,-,1,9,13
"경기도",연천군,46154,33,303,0.66,0,0,0.00,-,-,15,119,-,-,1,184,9,-,-,-,8,-,-,-,-,-,1,-,7,7
"경기도",가평군,62290,60,869,1.40,0,0,0.00,3,467,22,107,-,-,2,222,16,-,2,69,15,4,-,-,-,-,-,1,5,15
"경기도",양평군,106774,95,971,0.91,0,0,0.00,3,435,35,24,-,-,7,462,22,-,1,50,27,-,-,-,-,-,-,1,10,15
"강원도",소계,1558885,1504,17702,1.14,16,5639,0.10,42,5102,716,2468,5,1165,27,3137,356,15,2,120,331,29,1,0,8,27,2,16,102,129
"강원도",춘천시,278840,295,4180,1.50,2,1002,0.07,6,1076,140,378,2,619,7,1055,78,0,1,50,56,0,0,0,3,0,0,1,10,13
"강원도",원주시,330134,391,5050,1.53,2,1086,0.06,14,1608,181,813,3,546,7,927,91,0,1,70,91,0,0,0,1,0,0,1,9,8
"강원도",강릉시,217464,219,2547,1.17,4,1594,0.18,5,514,105,184,0,0,2,240,51,15,0,0,50,0,0,0,2,0,0,1,8,9
"강원도",동해시,95203,93,1145,1.20,1,378,0.11,2,487,49,242,0,0,2,38,22,0,0,0,17,0,0,0,0,0,0,1,2,0
"강원도",태백시,48547,41,715,1.47,1,535,0.21,0,0,24,180,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,1,1,1
"강원도",속초시,83194,112,888,1.07,2,434,0.24,1,134,61,212,0,0,1,79,24,0,0,0,23,29,0,0,0,0,0,1,0,0
"강원도",삼척시,72939,51,347,0.48,1,129,0.14,1,138,27,0,0,0,1,80,10,0,0,0,11,0,0,0,0,0,0,1,8,6
"강원도",홍천군,71256,62,834,1.17,1,132,0.14,2,260,28,161,0,0,3,281,15,0,0,0,13,0,0,0,0,0,0,1,8,18
"강원도",횡성군,46007,31,247,0.54,0,0,0.00,2,218,12,29,0,0,-,-,6,0,0,0,10,0,1,0,0,0,0,1,8,8
"강원도",영월군,40451,29,442,1.09,1,210,0.25,1,71,12,56,0,0,1,78,6,0,0,0,7,0,0,0,1,27,0,1,8,5
"강원도",평창군,44050,34,124,0.28,0,0,0.00,1,28,13,28,0,0,1,68,9,0,0,0,10,0,0,0,0,0,1,0,7,15
"강원도",정선군,39752,24,372,0.94,0,0,0.00,2,310,12,62,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,1,7,11
"강원도",철원군,48198,36,449,0.93,1,139,0.21,0,0,18,93,0,0,1,217,7,0,0,0,9,0,0,0,0,0,0,1,4,7
"강원도",화천군,27351,15,8,0.03,0,0,0.00,0,0,7,8,0,0,0,0,3,0,0,0,4,0,0,0,1,0,1,0,4,6
"강원도",양구군,24144,17,168,0.70,0,0,0.00,3,168,6,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,1,4,3
"강원도",인제군,32808,22,186,0.57,0,0,0.00,2,90,7,22,0,0,1,74,5,0,0,0,7,0,0,0,0,0,0,1,5,5
"강원도",고성군,30760,17,0,0.00,0,0,0.00,0,0,8,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,1,4,9
"강원도",양양군,27787,15,0,0.00,0,0,0.00,0,0,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,1,5,5
"충청북도",소계,1609588,1632,19466,1.21,11,4294,0.07,37,4398,788,3043,6,2026,36,5338,367,0,4,250,372,30,1,0,10,87,0,14,95,158
